DIA,GRUPO ETÁRIO,CASOS_CONFIRMADOS,OBITOS
15 MAR 2020,20-29,9.0,
15 MAR 2020,30-39,18.0,
15 MAR 2020,40-49,12.0,
15 MAR 2020,50-59,17.0,
15 MAR 2020,60-69,6.0,
15 MAR 2020,70-79,6.0,
15 MAR 2020,80+,2.0,
16 MAR 2020,0-9,2.0,
16 MAR 2020,10-19,2.0,
16 MAR 2020,20-29,10.0,
16 MAR 2020,30-39,10.0,
16 MAR 2020,40-49,15.0,
16 MAR 2020,50-59,9.0,
16 MAR 2020,60-69,19.0,
16 MAR 2020,70-79,11.0,
16 MAR 2020,80+,7.0,
17 MAR 2020,0-9,0.0,
17 MAR 2020,10-19,5.0,
17 MAR 2020,20-29,17.0,
17 MAR 2020,30-39,23.0,
17 MAR 2020,40-49,25.0,
17 MAR 2020,50-59,21.0,
17 MAR 2020,60-69,15.0,
17 MAR 2020,70-79,7.0,
17 MAR 2020,80+,5.0,
18 MAR 2020,0-9,13.0,
18 MAR 2020,10-19,4.0,
18 MAR 2020,20-29,32.0,
18 MAR 2020,30-39,29.0,
18 MAR 2020,40-49,45.0,
18 MAR 2020,50-59,19.0,
18 MAR 2020,60-69,25.0,
18 MAR 2020,70-79,14.0,
18 MAR 2020,80+,13.0,
19 MAR 2020,0-9,1.0,
19 MAR 2020,10-19,3.0,
19 MAR 2020,20-29,15.0,
19 MAR 2020,30-39,29.0,
19 MAR 2020,40-49,29.0,
19 MAR 2020,50-59,29.0,
19 MAR 2020,60-69,19.0,
19 MAR 2020,70-79,10.0,
19 MAR 2020,80+,8.0,
20 MAR 2020,0-9,1.0,
20 MAR 2020,10-19,5.0,
20 MAR 2020,20-29,24.0,
20 MAR 2020,30-39,41.0,
20 MAR 2020,40-49,29.0,
20 MAR 2020,50-59,53.0,
20 MAR 2020,60-69,36.0,
20 MAR 2020,70-79,31.0,
20 MAR 2020,80+,14.0,
21 MAR 2020,0-9,0.0,
21 MAR 2020,10-19,5.0,
21 MAR 2020,20-29,31.0,
21 MAR 2020,30-39,47.0,
21 MAR 2020,40-49,46.0,
21 MAR 2020,50-59,40.0,
21 MAR 2020,60-69,48.0,
21 MAR 2020,70-79,23.0,
21 MAR 2020,80+,21.0,
22 MAR 2020,0-9,5.0,
