SEMANA,GRUPO ETÁRIO,CASOS_CONFIRMADOS,OBITOS
25 a 31 MAI 2020,20-29,330.0,0.0
25 a 31 MAI 2020,30-39,309.0,0.0
25 a 31 MAI 2020,40-49,278.0,2.0
25 a 31 MAI 2020,50-59,203.0,1.0
25 a 31 MAI 2020,60-69,159.0,7.0
25 a 31 MAI 2020,70-79,82.0,16.0
25 a 31 MAI 2020,80+,80.0,73.0
01 a 07 JUN 2020,0-9,106.0,0.0
01 a 07 JUN 2020,10-19,105.0,0.0
01 a 07 JUN 2020,20-29,387.0,1.0
01 a 07 JUN 2020,30-39,381.0,1.0
01 a 07 JUN 2020,40-49,294.0,1.0
01 a 07 JUN 2020,50-59,242.0,4.0
01 a 07 JUN 2020,60-69,160.0,8.0
01 a 07 JUN 2020,70-79,109.0,18.0
01 a 07 JUN 2020,80+,128.0,61.0
08 a 14 JUN 2020,0-9,117.0,0.0
08 a 14 JUN 2020,10-19,117.0,0.0
08 a 14 JUN 2020,20-29,446.0,0.0
08 a 14 JUN 2020,30-39,427.0,0.0
08 a 14 JUN 2020,40-49,381.0,1.0
08 a 14 JUN 2020,50-59,300.0,2.0
08 a 14 JUN 2020,60-69,160.0,5.0
08 a 14 JUN 2020,70-79,98.0,7.0
08 a 14 JUN 2020,80+,106.0,46.0
15 a 21 JUN 2020,0-9,120.0,0.0
15 a 21 JUN 2020,10-19,128.0,0.0
15 a 21 JUN 2020,20-29,424.0,0.0
15 a 21 JUN 2020,30-39,424.0,0.0
15 a 21 JUN 2020,40-49,354.0,0.0
15 a 21 JUN 2020,50-59,308.0,2.0
15 a 21 JUN 2020,60-69,186.0,5.0
15 a 21 JUN 2020,70-79,88.0,9.0
15 a 21 JUN 2020,80+,127.0,19.0
22 a 28 JUN 2020,0-9,124.0,0.0
22 a 28 JUN 2020,10-19,169.0,0.0
22 a 28 JUN 2020,20-29,443.0,0.0
22 a 28 JUN 2020,30-39,396.0,0.0
22 a 28 JUN 2020,40-49,383.0,0.0
22 a 28 JUN 2020,50-59,304.0,0.0
22 a 28 JUN 2020,60-69,204.0,2.0
22 a 28 JUN 2020,70-79,99.0,4.0
22 a 28 JUN 2020,80+,228.0,8.0
29 a 05 JUL 2020,0-9,165.0,0.0
29 a 05 JUL 2020,10-19,189.0,0.0
29 a 05 JUL 2020,20-29,445.0,0.0
29 a 05 JUL 2020,30-39,477.0,1.0
29 a 05 JUL 2020,40-49,385.0,1.0
29 a 05 JUL 2020,50-59,291.0,1.0
29 a 05 JUL 2020,60-69,195.0,5.0
29 a 05 JUL 2020,70-79,129.0,6.0
29 a 05 JUL 2020,80+,247.0,20.0
06 a 12 JUL 2020,0-9,159.0,0.0
06 a 12 JUL 2020,10-19,162.0,0.0
06 a 12 JUL 2020,20-29,469.0,0.0
06 a 12 JUL 2020,30-39,434.0,0.0
06 a 12 JUL 2020,40-49,355.0,2.0
06 a 12 JUL 2020,50-59,275.0,3.0
06 a 12 JUL 2020,60-69,232.0,5.0
06 a 12 JUL 2020,70-79,135.0,8.0
06 a 12 JUL 2020,80+,187.0,34.0
13 a 19 JUL 2020,0-9,148.0,0.0
13 a 19 JUL 2020,10-19,170.0,0.0
13 a 19 JUL 2020,20-29,469.0,0.0
13 a 19 JUL 2020,30-39,476.0,1.0
13 a 19 JUL 2020,40-49,375.0,0.0
13 a 19 JUL 2020,50-59,333.0,2.0
13 a 19 JUL 2020,60-69,213.0,2.0
13 a 19 JUL 2020,70-79,146.0,11.0
13 a 19 JUL 2020,80+,148.0,26.0
20 a 26 JUL 2020,0-9,130.0,0.0
20 a 26 JUL 2020,10-19,127.0,0.0
20 a 26 JUL 2020,20-29,362.0,0.0
20 a 26 JUL 2020,30-39,356.0,0.0
20 a 26 JUL 2020,40-49,350.0,0.0
20 a 26 JUL 2020,50-59,252.0,0.0
20 a 26 JUL 2020,60-69,158.0,0.0
20 a 26 JUL 2020,70-79,109.0,5.0
20 a 26 JUL 2020,80+,93.0,24.0
27 a 02 AGO 2020,0-9,99.0,0.0
27 a 02 AGO 2020,10-19,111.0,0.0
27 a 02 AGO 2020,20-29,280.0,0.0
27 a 02 AGO 2020,30-39,284.0,0.0
27 a 02 AGO 2020,40-49,259.0,0.0
27 a 02 AGO 2020,50-59,178.0,0.0
27 a 02 AGO 2020,60-69,136.0,2.0
27 a 02 AGO 2020,70-79,91.0,6.0
27 a 02 AGO 2020,80+,86.0,20.0
03 a 09 AGO 2020,0-9,111.0,0.0
03 a 09 AGO 2020,10-19,85.0,0.0
03 a 09 AGO 2020,20-29,210.0,0.0
03 a 09 AGO 2020,30-39,200.0,1.0
03 a 09 AGO 2020,40-49,221.0,0.0
03 a 09 AGO 2020,50-59,165.0,0.0
03 a 09 AGO 2020,60-69,107.0,3.0
03 a 09 AGO 2020,70-79,74.0,5.0
03 a 09 AGO 2020,80+,89.0,10.0
10 a 16 AGO 2020,0-9,70.0,0.0
10 a 16 AGO 2020,10-19,103.0,0.0
10 a 16 AGO 2020,20-29,216.0,0.0
10 a 16 AGO 2020,30-39,204.0,0.0
10 a 16 AGO 2020,40-49,189.0,0.0
10 a 16 AGO 2020,50-59,168.0,2.0
10 a 16 AGO 2020,60-69,125.0,2.0
10 a 16 AGO 2020,70-79,88.0,8.0
10 a 16 AGO 2020,80+,91.0,9.0
17 a 23 AGO 2020,0-9,78.0,0.0
17 a 23 AGO 2020,10-19,96.0,0.0
17 a 23 AGO 2020,20-29,275.0,0.0
17 a 23 AGO 2020,30-39,245.0,0.0
